id,question,correct_answer,option1,option2,option3,option4,category,points
710,"A man came to the Prophet(SAW) and said ""I have got a dinar."" (the dinar is a unit of Arabian currency). The Prophet(SAW)said, spend it on yourself. Then the man repeated the statement four times.:I have got another (dinar).""What was the Prophet's reply? 1. Spend it on your children 2. Spend it on your wife; 3. Spend it on your servant; 4. You know best. 5. spend it on your parents.","1, 2, 3, and 4 only.",all of the above.,"1, 2, 3, and 5 only.","2, 3, 4, and 5 only.","1, 2, 3, and 4 only.",Hadith,10
711,The Prophet(SAW) named three things as a person's best treasures. Name any one of them.,A cheerful companion who keep his company.,A tongue always engaged in the remembrance of Allah,A cheerful companion who keep his company.,A believing wife who always nag him., An ever-grateful soul.,Hadith,10
712,"According to the Prophet(SAW), what  should you do whenever you see a person who is richer than you, or is more beautiful or healthier than you?","You should look at someone else who is inferior to you in those respects, which will make you thankful to Allah.","You should look at someone else who is inferior to you in those respects, which will make you thankful to Allah.",You pray to Allah to make you like him.,You pray to Allah give you more that He has given him.,You pray to Allah for evil not to befall him.,Hadith,10
713,"A man said to the Prophet(SAW), such and such a woman is reputed for much prayer and fasting and almsgiving, but she offends her neighbours with her tongue. What did the Prophet say about her?",She will go to hell.,She will be forgiven.,She will go to paradise.,She will go to hell.,She will not smell fragrance of paradise.,Hadith,10
714,"Why did the Prophet(SAW) say ""Do not be happy at the sorrows of your brother…""",Lest Allah show him mercy and put you to the test.,Lest Allah show him mercy and put you to jahannam.,Lest Allah show him mercy and increase you in poverty.,Allah makes you full of sorrow.,Lest Allah show him mercy and put you to the test.,Hadith,10
715,"Once a person said to the Prophet(SAW), ""Tell me who is the wisest and the most far-seeing man."" What was the Prophet's(SAW) reply?","'He who remembers death often and makes the greatest preparation for it is wisest and the most far-sighted."" ","He who saves enough wealth for tomorrow is the wisest and the most far-sighted."" ","'He who remembers death often and makes the greatest preparation for it is wisest and the most far-sighted."" ","He who takes care of his health for optimum performance at work is the wisest and the most far-sighted."" ",He who accurately predicts what happens tomorrow.,Hadith,10
716,"A man said to the Prophet(SAW), such and such a woman is reputed less for her fasting, almgiving and prayer but she gives alms of the remainders and she does not offend her neighbours by her tongue. What did the Prophet say about her?",She will go to Paradise.,She will go to Paradise.,She will have reward of going to Hajj.,She will have reward of going for Umrah.,She will be remembered throughout history.,Hadith,10
717,How would the Prophet(SAW) laugh?,He never burst into laughter with his mouth wide open. He would only smile.,He burst into laughter with his mouth wide open and sometimes smile.,He never laugh nor smile.,He never burst into laughter with his mouth wide open. He would only smile.,He always burst into laugh.,Hadith,10
718,What did the Prophet(SAW) say would happen in the Hereafter to  a truthful believer whose tears. -albiet small ones-fell from his eyes out of fear of his lord and then rolled down his cheeks?,It will prevent the fire of Hell from touching his face,He will enter fire but fire of Hell will not touch his face.,It will prevent the fire of Hell from touching his body,It will prevent the fire of Hell from touching his feet.,It will prevent the fire of Hell from touching his face,Hadith,10
719,"The Prophet(SAW) caught Abu Hurayrah by his hand and counted up to five. He then gave him five maxims which a true believers must follow. Mention them. 1. Fear the forbidden things; you will then become th holiest of men. 2. Be pleased with whatever Allah assigned to you; you will then be the most contented of men; 3. Be good to your neighbour; you will be a (true)believer; 4. Love for people what you love for yourself, You will then become a (true) believer5. Do not laugh too much, for excessive laughter deadens the heart. 5. Marry and give birth to many children.","1, 2, 3, and 4 only.","1, 2, 4, and 5 only.","1, 2, 3, and 4 only.","2, 3, 4, and 5 only.","1, 3, 4, and 5 only.",Hadith,10
720,How many times would the Prophet(SAW) usually repeat what he had said so that people  might fully understand him?,Three times.,Three times.,Five times.,Seven times.,One time.,Hadith,10
721,"The Prophet(SAW) said to his companions if you give up 1/10th of what you have been ordered to do, you will perish. But he said a time will come when the people will just do 1/10th of what they are ordered to do. What would happen to such people?",They will get salvation.,They will be punished.,They will be forgiven.,They will get salvation.,They will get rewarded.,Hadith,10
722,who will be the first two disputants on the Day of Judgement?,Two neighbours.,Two friends.,Two siblings,Two brothers,Two neighbours.,Hadith,10
723,How did the Prophet's wife Aishah once narrate the way the Prophet((SAW) normally spoke?,"The Prophet(SAW) was not accustomed to speaking hastily, as you do. He would speak in such a way that, if one so desired, he could count his words.",The Prophet(SAW) used to speak hastily but audible.,"The Prophet(SAW) was not accustomed to speaking hastily, as you do. He would speak in such a way that, if one so desired, he could count his words.","The Prophet(SAW) was accustomed to speaking hastily. However, anyone listening could count his words.",The Prophet(SAW) would speak like angels in heaven.,Hadith,10
724,"The Prophet(SAW) said,""I leave with you two things. As long as you hold fast by them both, you will never be misguided''. What are the two.",The Quran and the Sunnah.,The Quran and the Sunnah.,The Quran and the companion.,The Quran and the rightly guided companions.,The Quran and the Just Imams.,Hadith,10
725,"The Prophet(SAW)said, I and he who takes charge of an orphan, whether his own or another's, shall be like this in Paradise. How did he demonstrate this?",He pointed with his forefinger and smallest finger.,"He pointed with his index finger and middle finger, leaving no space between the two.","He pointed with his forefinger and middle finger, leaving no space between the two.",He pointed with his forefinger and smallest finger.,"He pointed with his ring finger and middle finger, leaving no space between the two.",Hadith,10
726,Name the three surahs of the Quran the Prophet(SAW) would recite before going to bed.,"Surah al-Iklas, al-Falaq and an-Nas.","Surah al-Iklas, al-Falaq and Lahab.","Surah al-Iklas, al-Falaq and an-Nasr.","Surah Qalam, al-Falaq and an-Nas.","Surah al-Iklas, al-Falaq and an-Nas.",Hadith,10
727,"A man said to the Prophet(SAW),"" I have ten children but l have never kissed any of them.""What was the Prophet's reply?",He who  is not kind will not be shown kindness.,Go and kiss all of them,He who  is not kind will not be shown kindness.,Go and seek for Allah's forgiveness.,Go and treat your family better.,Hadith,10
728,"According to the Prophet(SAW), whoever contracts a debt intending to repay it will have it repaid by Allah. What did the Prophet(SAW) say about one who contracts a debt with no intention of repaying it?",Allah will bring him to ruin.,Allah will bring him to ruin.,Allah will disgrace him,Allah will not empower him.,He will rot in Hell.,Hadith,10
729,"When Aishah asked the Prophet(SAW) why he stood so long in prayer when Allah had already forgiven his past and future sins, what was the Prophet's reply?",Should I not be a grateful servant of Allah?,Should I not be a hopeful servant of Allah?,Should I not be a helpful servant of Allah?,Should I not be a grateful servant of Allah?,Should I not be a merciful servant of Allah?,Hadith,10
